# Comments start with a hashtag because of how CSV is read,"<a href=""SITE-LINK"" target=""_blank"">LIST-NAME</a>","<a href=""tel:+1555-555-5555"">1.555.555.5555</a>",,,
Resource,Website,Hotline Phone/Text,Resource Description,Keywords,Region/Language
Minority University Research and Education Project (MUREP),"<a href=""https://www.nasa.gov/stem/murep/about/index.html"" target=""_blank"">Minority University Research and Education Project (MUREP)</a>",,"Enhance the research, academic and technology capabilities of MSIs through multiyear cooperative agreements.","STEMM, education",
More Than Two,"<a href=""https://www.morethantwo.com/"" target=""_blank"">More Than Two</a>",,A guide to polyamory and ethical non-monogamy in relationships.,relationships,
mRelief,"<a href=""https://www.mrelief.com/"" target=""_blank"">mRelief</a>",,A simplified process for determining food stamp qualification and registration.,COVID-19,
MTF Surgery Guide (T),"<a href=""https://www.mtfsurgery.net/"" target=""_blank"">MTF Surgery Guide (Trans)</a>",,Directory of surgeons and describes differences between surgical procedures for trans feminine folks.,"LGBTQ, health",
Muslim Alliance for Sexual and Gender Diversity,"<a href=""http://www.muslimalliance.org/"" target=""_blank"">Muslim Alliance for Sexual and Gender Diversity</a>",,"A working group to support, empower and connect LGBTQ Muslims.","LGBTQ, religion",
My3 (app for suicide safety planning),"<a href=""https://my3app.org/"" target=""_blank"">My3 (app for suicide safety planning)</a>",,"MY3 is for individuals who may be having thoughts of suicide, or who have a history of suicidal behavior. It is designed to help these individuals stay safe during when they are experiencing thoughts of suicide.",mental health,
MyLife (guided meditation),"<a href=""https://my.life/"" target=""_blank"">MyLife app (guided meditation)</a>",,"Check in with how you're feeling, and try short activities tuned to your emotions.",mental health,
myPlan App,"<a href=""https://https://www.myplanapp.org/home#home"" target=""_blank"">myPlan App</a>",,"A tool to help with safety decisions if you, or someone you care about, is experiencing abuse in their intimate relationship. *Includes LGBTQIA+ relationships.","LGBTQ, general",
MyTransHealth (T),"<a href=""https://mytranshealth.com/"" target=""_blank"">MyTransHealth (Trans)</a>",,Online directory of trans-affirming healthcare providers.,"LGBTQ, gender identity, health",
NAACP Know Your Rights,"<a href=""https://www.naacp.org/wp-content/uploads/2016/04/Racial_Profiling_Know_Your_Rights_Supplement_6-12-12.pdf"" target=""_blank"">NAACP Know Your Rights</a>",,What to do if you're pulled over by the police.,general,
National Alliance on Mental Illness (NAMI),"<a href=""https://www.nami.org/home"" target=""_blank"">National Alliance on Mental Illness (NAMI)</a>","<a href=""tel:+1800-950-6264"">1.800.950.6264</a>","Information on mental illness symptoms, seeking help, education, and mental health advocacy. Helpline Hours: M-F 10am-6pm ET","mental health, hotline",
National Center for Transgender Equality: Know Your Rights,"<a href=""https://transequality.org/know-your-rights"" target=""_blank"">National Center for Transgender Equality: Know Your Rights</a>",,Several resources about legal protections and rights of transgender people.,"LGBTQ, gender identity, legal",
National Domestic Violence/Abuse Hotline,"<a href=""https://www.thehotline.org"" target=""_blank"">National Domestic Violence/Abuse Hotline</a>","<a href=""tel:+1800-799-7233"">1.800.799.7233</a> or TTY <a href=""tel:+1800-787-3224"">1.800.787.3224</a>","The National Domestic Violence Hotline is a 24-hour confidential service for survivors, victims and those affected by domestic violence, intimate partner violence and relationship abuse.",hotline,
National Parent Helpline,"<a href=""https://www.nationalparenthelpline.org/"" target=""_blank"">National Parent Helpline</a>","<a href=""tel:+1855-427-2736"">1.855.4A.PARENT (27-2736)</a>",A helpline to assist in becoming an empowered and stronger parent. Hours: M-F 1pm ET - 10pm ET.,hotline,
National Queer and Trans Therapists of Color Network,"<a href=""https://www.nqttcn.com/"" target=""_blank"">National Queer and Trans Therapists of Color Network</a>",,NQTTCN maintains an online directory of queer and trans therapists of color that provide mental health services for other queer and trans people of color.,"LGBTQ, health",
National Resource Center on LGBT Aging,"<a href=""https://www.lgbtagingcenter.org/resources/resources.cfm?s=31"" target=""_blank"">National Resource Center on LGBT Aging</a>",,Resources on aging and relevant topics for LGBT people.,"LGBTQ, mental health, health",Español
National Runaway Switchboard,"<a href=""https://www.1800runaway.org/"" target=""_blank"">National Runaway Switchboard</a>","<a href=""tel:+1800.786.2929"">1.800.RUNAWAY (786.2929)</a> or text <a href=""sms:66008"">66008</a>","A 24/7 non-judgmental hotline for runaway, homeless and at-risk youth and their families at their most vulnerable moments.","under 18, hotline",
National Sexual Assault Hotline (RAINN),"<a href=""https://www.rainn.org"" target=""_blank"">National Sexual Assault Hotline (RAINN)</a>","<a href=""tel:+1800-656-4673"">1.800.656.HOPE (4673)</a>",The National Sexual Assault Hotline is a 24-hour confidential service for survivors of sexual assault.,hotline,
National Suicide Prevention Lifeline,"<a href=""https://suicidepreventionlifeline.org"" target=""_blank"">National Suicide Prevention Lifeline</a>","<a href=""tel:+1800-273-8255"">1.800.273.TALK (8255)</a> / Spanish <a href=""tel:+1888-628-9454"">1.888.628.9454</a>","The Lifeline provides 24/7, free and confidential support for people in distress, prevention and crisis resources for you or your loved ones, and best practices for professionals.",hotline,Español
Native American Rights Fund (NARF),"<a href=""https://www.narf.org/"" target=""_blank"">Native American Rights Fund (NARF)</a>",,"A legal organization dedicated to defending the rights of Native American tribes, organizations, and people.","legal, Indigenous",
NeedyMeds,"<a href=""https://www.needymeds.org/pap"" target=""_blank"">NeedyMeds</a>","<a href=""tel:+1800-503-6897"">1.800.503.6897</a>",Information about applying for prescription assistance programs and additional information about affording medications.,health,
Neutrois,"<a href=""http://neutrois.com/"" target=""_blank"">Neutrois</a>",,Information about non-binary neutrois gender identities.,"LGBTQ, gender identity",
Never Use Alone,"<a href=""http://neverusealone.com/"" target=""_blank"">Never Use Alone</a>","<a href=""tel:+1800-484-3731"">1.800.484.3731</a>",A non-judgmental hotline for people taking drugs to call as a safeguard against accidental overdose.,"hotline, mental health",
NIH Postbaccalaureate Research Education Program (PREP) Program,"<a href=""https://www.nigms.nih.gov/training/PREP/Pages/default.aspx"" target=""_blank"">NIH Postbaccalaureate Research Education Program (PREP) Program</a>",,A research-focused program for underrepresented individuals in the biomedical sciences who are interested in pursuing a research-focused doctoral degrees. The program actively seeks to create opportunities for people with disabilities.,"STEMM, education, disability, career",
NOGLSTP Out to Innovate,"<a href=""https://www.noglstp.org/programs-projects/scholarships/"" target=""_blank"">NOGLSTP Out to Innovate</a>",,STEM scholarships for undergraduate & graduate students who are LGBTQ+ or active allies.,"STEMM, funding",
Northwest Portland Area Indian Health Board (NPAIHB) Text Line,"<a href=""http://www.npaihb.org/2slgbtq/"" target=""_blank"">NPAIHB Text Line</a>","Text LGBTQ2S to <a href=""sms:97779&body=LGBTQ2S"">97779</a> to receive resources via text message.",Text to learn more about Two Spirit and LGBTQ+ Health.,"LGBTQ, hotline",
Now Matters Now (DBT),"<a href=""https://www.nowmattersnow.org/about"" target=""_blank"">Now Matters Now (DBT)</a>",,Skills and support for coping with suicidal thoughts based on Dialectical Behavior Therapy.,mental health,
NSF Search for an REU,"<a href=""https://www.nsf.gov/crssprgm/reu/reu_search.jsp"" target=""_blank"">NSF Search for an REU</a>",,Site that lists all active NSF-funded Research Experience for Undergraduates (REU) programs.,"STEMM, education, career",
Open Counseling,"<a href=""https://www.opencounseling.com/"" target=""_blank"">Open Counseling</a>",,"Online directory for finding local, affordable counseling.",mental health,
Open Library,"<a href=""https://openlibrary.org/"" target=""_blank"">Online Library</a>",,Online Library with free book downloads.,general,
oSTEM Affinity Groups,"<a href=""https://www.ostem.org/page/affinity-groups"" target=""_blank"">oSTEM Affinity Groups</a>",,A directory of affinity groups (community support groups) where people can meet and discuss experiences with others that share a similar identity.,"LGBTQ, STEMM",
oSTEM Community Relief Emergency Fund,"<a href=""https://forms.gle/XJhBDbDAkB1Snc2B7"" target=""_blank"">oSTEM Community Relief Emergency Fund</a>",,This is the application for our oSTEM Community Relief Emergency Fund. This fund is to help our community with any urgent financial needs due to housing insecurity and limited resources during this public health crisis.,"LGBTQ, general",
oSTEM COVID-19 Additional Resources,"<a href=""https://docs.google.com/document/d/1ZGNXmPa9dS22ZVSdW3nuJv5MVGO-hSnKo_dV0X_1-Ac/edit?usp=sharing"" target=""_blank"">oSTEM COVID-19 Additional Resources</a>",,Additional resources in response to COVID-19 compiled by oSTEM volunteers.,"LGBTQ, general",
oSTEM COVID-19 Resources (General Page),"<a href=""https://ostem.org/page/covid-19-resources"" target=""_blank"">oSTEM COVID-19 Resources (General Page)</a>",,"A list of oSTEM resources in response to COVID-19. Includes the oSTEM response statement, Crisis Text Line, oSTEM Squad Slack, Emergency Fund Application, Event Calendar, and other resources.","LGBTQ, general",
oSTEM Crisis Resources (Quick Link),"<a href=""https://ostem.org/305556/Page/Show?ClassCode=Page&Slug=crisis-hotlines"" target=""_blank"">oSTEM Crisis Resources (Quick Link)</a>",,"A list of LGBTQIA+ support resources, including crisis hotlines and other services.","LGBTQ, general",
oSTEM Pronouns and Why They Matter,"<a href=""https://ostem.blob.core.windows.net/webfiles/Resources/ostem_pronounguide_legal.pdf"" target=""_blank"">oSTEM - Pronouns and Why They Matter</a>",,This guide is designed to be shared with those who may not be familiar with pronouns and the different pronouns that people might use.,"LGBTQ, gender identity, education",
oSTEM Squad Slack,"<a href=""https://tinyurl.com/ostemsquadslack"" target=""_blank"">oSTEM Squad Slack</a>",,oSTEM's virtual community which includes a multitude of resources and channels. Meeting place for the oSTEM affinity groups (community support groups).,"LGBTQ, general",
Our Trans Loved Ones,"<a href=""https://pflag.org/sites/default/files/Our%20Trans%20Loved%20Ones.pdf"" target=""_blank"">Our Trans Loved Ones</a>",,"A Q&A-style book about transgender and gender expansive people for parents, families, and friends.","LGBTQ, education",
OutCare Health,"<a href=""https://www.outcarehealth.org/resources/"" target=""_blank"">OutCare Health</a>",,"A list of LGBTQ+ healthcare resources in the United States. Includes resources for primary care, mental health services, youth groups, shelters, support groups, and STI testing.","LGBTQ, health, mental health",
Out in Tech (Slack),"<a href=""https://outintech.slack.com/join/shared_invite/zt-hrwq4l8n-R8stIc7QsZqeY4EE~k25Vw#/"" target=""_blank"">Out in Tech (Slack)</a>",,A messaging app where members of the LGBTQ community in STEM can join and connect with each other.,"LGBTQ, STEMM",
Partnership Education Program (PEP),"<a href=""https://www.woodsholediversity.org/pep/"" target=""_blank"">Partnership Education Program (PEP)</a>",,10-week program designed primarily for college juniors and seniors who want to spend a summer gaining practical experience in marine and environmental science.,"STEMM, education",
Pathways to Science,"<a href=""https://www.pathwaystoscience.org/index.aspx"" target=""_blank"">Pathways to Science</a>",,"Directory of programs, internships, and fellowships for those in STEM at any career stage.","STEMM, education, funding",
PEACE Wellness Collective,"<a href=""https://www.pwcla.com/"" target=""_blank"">PEACE Wellness Collective</a>",,"The PEACE Wellness Collective was created by 5 Black women whose goal is to provide mental health and wellness resources to the black community. They offer therapy for individuals, family, and couples.",mental health,
PEP 101,"<a href=""https://www.cdc.gov/hiv/pdf/library/consumer-info-sheets/cdc-hiv-consumer-info-sheet-pep-101.pdf"" target=""_blank"">PEP 101</a>",,English and Spanish CDC fact sheet on post-exposure prophylaxis (PEP) [start within 3 days after HIV exposure].,"LGBTQ, health",Español
PFLAG,"<a href=""https://pflag.org"" target=""_blank"">PFLAG</a>",,"Provides LGBTQIA+ community and their loved ones with information, tools, resources, advocacy, education, and support.","LGBTQ, general",
PhD Parent,"<a href=""https://the-phd-parent.mn.co/"" target=""_blank"">PhD Parent</a>",,"An online community for academic parents and carers for moral support, encouragement, and advice.","STEMM, parents",
PhD Students,"<a href=""https://www.phdstudent.com/"" target=""_blank"">PhD Students</a>",,"Articles, blog posts, and resources for preparing for, applying to, and succeeding in graduate school. Also offers thesis and dissertation-phase advice and tips for after graduate school.","STEMM, education",
Planned Parenthood,"<a href=""https://www.plannedparenthood.org/"" target=""_blank"">Planned Parenthood</a>",,Reproductive healthcare. Many offer HRT for trans people.,general,
Point Foundation,"<a href=""https://pointfoundation.org/point-apply/application-faqs/"" target=""_blank"">Point Foundation</a>",,"National LGBTQ+ scholarship fund for ""out"" undergraduate and graduate students","STEM, funding",
Point of Pride,"<a href=""https://pointofpride.org/"" target=""_blank"">Point of Pride</a>",,"Offers a lot of transition-related funding/services, such as a chest binder donation program and trans feminine shapewear program.","LGBTQ, gender identity",
Point of Pride COVID-19 Fund,"<a href=""https://pointofpride.org/covid-19-emergency-fund/"" target=""_blank"">Point of Pride COVID-19 Fund</a>",,Funding for trans people to cover trans community needs.,COVID-19,
Poison Control,"<a href=""https://www.webpoisoncontrol.org/"" target=""_blank"">Poison Control</a>","<a href=""tel:+1800-222-1222"">1.800.222.1222</a>",Poison control is a 24/7 hotline with information on poison emergencies.,hotline,
Porn Addicts Anonymous,"<a href=""https://www.pornaddictsanonymous.org/"" target=""_blank"">Porn Addicts Anonymous</a>",,12 step program for overcoming porn addition -- steps involve G-d.,sexual health,
PrEP 101,"<a href=""https://www.cdc.gov/hiv/pdf/library/consumer-info-sheets/cdc-hiv-consumer-info-sheet-prep-101.pdf"" target=""_blank"">PrEP 101</a>",,English and Spanish CDC fact sheet on pre-exposure prophylaxis (PrEP).,"LGBTQ, health",Español
PRIDE in Practice,"<a href=""https://www.prideinpractice.org/"" target=""_blank"">PRIDE in Practice</a>",,LGBTQ+ health care education -- clinical articles and resources.,"LGBTQ, health",
PRIMED2,"<a href=""https://www.rainbowhealthontario.ca/wp-content/uploads/woocommerce_uploads/2011/02/15GMS004_primedguide-redo_vFA_booklet_ENG_web.pdf"" target=""_blank"">PRIMED2</a>",,A sex guide for trans men into men (explicit).,"LGBTQ, gender identity, sexual health",
Prism,"<a href=""https://www.prismmoney.com/"" target=""_blank"">Prism</a>",,An app (Apple and Google Play) that can manage a personal budget and keep track of paychecks and bill schedules.,general,
QChristian,"<a href=""https://community.qchristian.org"" target=""_blank"">QChristian</a>",,Online forum for queer people of Christian faiths.,"LGBTQ, religion",
"Question, Persuade, Refer (QPR)","<a href=""https://qprinstitute.com/"" target=""_blank"">Question, Persuade, Refer (QPR)</a>",,Suicide prevention training for individuals and organizations.,"mental health, education",
RAD Remedy,"<a href=""https://www.radremedy.org/"" target=""_blank"">RAD Remedy</a>",,"Connect trans, gender non-conforming, intersex, and queer individuals to comprehensive care in order to improve individual and community health.","LGBTQ, gender identity",
Reflective Workbook,"<a href=""https://www.goodreads.com/book/show/43610689-the-reflective-workbook-for-partners-of-transgender-people"" target=""_blank"">Reflective Workbook</a>",,Workbook for partners of trans folx.,"LGBTQ, gender identity",
Reproductive Options for Trans People,"<a href=""https://www.lgbtqhealth.ca/docs/FactSheet-ReproductiveOptionsForTransPeople.pdf"" target=""_blank"">Reproductive Options for Trans People</a>",,This fact sheet offers information about reproductive options for trans people interested in hormone therapy or surgeries.,"LGBTQ, gender identity, health",
Research Experiences in Solid Earth Science for Students (RESESS),"<a href=""https://resess.unavco.org/"" target=""_blank"">Research Experiences in Solid Earth Science for Students (RESESS)</a>",,"RESESS supports interns in summer research experiences at UNAVCO in Boulder, CO, as well as provides professional development opportunities and graduate school application support.","STEMM, education",
Resource for Parents and Families of LGBTQ Individuals,"<a href=""http://www.ala.org/rt/sites/ala.org.rt/files/content/professionaltools/ResourcesforParentsandFamiliesofLGBTQIndividuals.pdf"" target=""_blank"">Resource for Parents and Families of LGBTQ Individuals</a>",,A PDF of resources for parents and families of LGBTQ individuals.,LGBTQ,
Safety During Protests (Amnesty USA),"<a href=""https://www.amnestyusa.org/pdfs/SafeyDuringProtest_F.pdf"" target=""_blank"">Safety During Protests (Amnesty USA)</a>",,An infographic about safely planning for and participating in protests.,general,
Samaritans,"<a href=""https://www.samaritans.org/"" target=""_blank"">Samaritans</a>","<a href=""tel:+44116-123"">44.116.123</a>","A 24/7 UK-based suicide hotline that provides services to the UK, Ireland, Scotland, and Wales.",hotline,UK
SAMHSA's A Practioner's Resource Guide: Helping Families to Support Their LGBT Children,"<a href=""https://store.samhsa.gov/sites/default/files/d7/priv/pep14-lgbtkids.pdf"" target=""_blank"">SAMHSA's A Practioner's Resource Guide: Helping Families to Support Their LGBT Children</a>",,A resource guide about supporting LGBT children.,"LGBTQ, education",
SAMHSA's Disaster Distress Helpline,"<a href=""https://www.samhsa.gov/find-help/disaster-distress-helpline"" target=""_blank"">SAMHSA's Disaster Distress Helpline</a>","<a href=""tel:+1800-985-5990"">1.800.985.5990</a> or text TalkWithUs to <a href=""sms:66746&body=TalkWithUs"">66746</a>",Substance Abuse and Mental Health Services Administration offers a 24/7 hotline to support people experiencing emotional distress related to natural or human-caused disasters.,hotline,
SAMHSA's LGBTQ2S Resources,"<a href=""https://www.samhsa.gov/sites/default/files/nc-lgbtq2s-resources.pdf"" target=""_blank"">SAMHSA's LGBTQ2S Resources</a>",,"Downloadable PDF that includes a directory submitted by Lori King (Project Director at Tribal Tech, LLC) and Margaret Springe (Deputy Project Manager, Tribal Tech, LLC). There are several Two-Spirit specific resources.","LGBTQ, gender identity, Indigenous",
SAMHSA's National Helpline,"<a href=""https://www.samhsa.gov/find-help/national-helpline"" target=""_blank"">SAMHSA's National Helpline</a>","<a href=""tel:+1800-662-4357"">1.800.662.HELP (4357)</a> or TTY <a href=""tel:+1800-487-4889"">1.800.487.4889</a>",SAMHSA offers a 24/7 hotline for treatment referral and information on mental and/or substance abuse disorders. Spanish also available.,hotline,Español
Science & Engineering Leadership Initiative (SELI),"<a href=""https://sites.udel.edu/seli-ud/application/"" target=""_blank"">Science & Engineering Leadership Initiative (SELI)</a>",,"An REU (Research Experience for Undergraduates) program for students with disabilities studying chemistry, biochemistry, or related fields, hosted at the University of Delaware.","STEMM, education, disability, career",
Self-harm Distraction Techniques,"<a href=""http://www.selfinjury.bctr.cornell.edu/perch/resources/distraction-techniques-pm-2.pdf"" target=""_blank"">Self-harm Distraction Techniques</a>",,A list of potential coping/distraction techniques separated out by the motivation behind self-harm.,mental health,
Self-help Anxiety Managment app,"<a href=""https://apps.apple.com/us/app/self-help-for-anxiety-management/id666767947"" target=""_blank"">Self-help Anxiety Managment app</a>",,An app with resources for building a person's anxiety toolkit.,mental health,
Sex Addicts Anonymous,"<a href=""https://saa-recovery.org/"" target=""_blank"">Sex Addicts Anonymous</a>",,12 step program for overcoming sex addiction -- steps involve G-d.,sexual health,
"Sex, etc. (sex ed)","<a href=""https://sexetc.org/"" target=""_blank"">Sex, etc. (sex ed)</a>",,"Sex education by teens, for teens.","general, sexual health",
Shape Math,"<a href=""https://shapemath.com/"" target=""_blank"">Shape Math</a>",,A technique built for people with dyslexia and dyscalculia for doing written and mental math problems. Offers a free trial and have individual and site licenses.,"disability, education",
Significant Opportunities in Atmospheric Research and Science (SOARS),"<a href=""https://soars.ucar.edu/"" target=""_blank"">Significant Opportunities in Atmospheric Research and Science (SOARS)</a>",,Undergraduate-to-graduate bridge program designed to broaden participation of historically underrepresented communities in the atmospheric and related sciences.,"STEMM, education",
Siri Shortcut for Recording Police,"<a href=""https://www.businessinsider.com/ios-12-shortcut-uses-iphone-to-record-police-during-traffic-stop-2018-10"" target=""_blank"">Siri Shortcut for Recording Police</a>",,Information about setting up an iPhone shortcut that texts a contact alerting them you've been pulled over and starts recording using the iPhone's front-facing camera.,general,
Slader,"<a href=""https://www.slader.com/"" target=""_blank"">Slader</a>",,A homework help website with step-by-step solutions and a forum for asking questions.,"STEMM, education",
SMART Recovery,"<a href=""https://www.smartrecovery.org/"" target=""_blank"">SMART Recovery</a>",,Self-help program for addiction recovery,mental health,
Solace App,"<a href=""https://solace.lgbt/"" target=""_blank"">Solace App</a>",,An app for identifying one's personal transition goals and making a plan to attain them.,"LGBTQ, gender identity",
SPART*A,"<a href=""https://spartapride.org/"" target=""_blank"">SPART*A</a>",,SPART*A is a group of transgender people who currently serve or have served in the military.,"LGBTQ, gender identity, veteran",
Stairway to STEM,"<a href=""https://www.stairwaytostem.org/"" target=""_blank"">Stairway to STEM</a>",,Resources for autistic students transitioning from high school to college and enrolled in STEM courses.,"STEMM, education, disability, career",
Stand Alone,"<a href=""https://www.standalone.org.uk/"" target=""_blank"">Stand Alone</a>",,"An organization that offers innovative advice and support services for all people experiencing estrangement by providing support groups, therapeutic workshops, and connections with people for ongoing emotional support ",mental health,UK
STEM Graduates,"<a href=""https://www.stemgraduates.co.uk/"" target=""_blank"">STEM Graduates</a>",,A recruitment agency and job board for students and graduates in STEM fields in the UK.,"STEMM, career",UK
Straight for Equality: be not afraid,"<a href=""https://bolt.straightforequality.org/files/Straight%20for%20Equality%20Publications/be-not-afraid-s4e-in-faith-.pdf"" target=""_blank"">Straight for Equality: be not afraid</a>",,A pdf about how to be supportive to those in the GLBT community within faith communities.,"LGBTQ, religion",
Stonewall UK,"<a href=""https://www.stonewall.org.uk/"" target=""_blank"">Stonewall UK</a>",,UK-based charity that campaigns for the equality of LGBTQ+ people across Britain and abroad.,LGBTQ,UK
"Stop, Breathe, & Think app","<a href=""https://www.stopbreathethink.com/meditations/"" target=""_blank"">Stop, Breathe, & Think app</a>",,A free app on the Apple App store and Google Play Store that helps you find peace of mind anywhere. Offers premium content for a fee.,mental health,
Summer Research & Prof Development for UndocuSTEM,"<a href=""http://www.matthewrcover.com/undocumented-in-stem.html"" target=""_blank"">Summer Research and Professional Development Programs for UndocuSTEM</a>",,A list of opportunities available to undocumented students.,"STEMM, education",
Switchboard,"<a href=""https://switchboard.lgbt/"" target=""_blank"">Switchboard</a>","<a href=""tel:+44-0300-330-0630"">44.0300.330.0630</a>","Helpline run by LGBTQ+ people in the UK to discuss anything, including sexuality, gender identity, sexual health and emotional wellbeing. Hours: Su-Sa 10:00-22:00 BT.","LGBTQ, hotline",UK
Sylvia Rivera Law Project,"<a href=""https://srlp.org/"" target=""_blank"">Sylvia Rivera Law Project</a>",,"Legal-aid organization serving low-income or people of color that are transgender, intersex, or gender non-conforming.","LGBTQ, legal",
Teen Lifeline,"<a href=""http://www.teenlifeline.org/"" target=""_blank"">Teen Lifeline</a>","<a href=""tel:+1602-248-8336"">1.602.248.TEEN (8336)</a>",Teen Lifeline’s hotline has been a connection of hope for teens in crisis.,"under 18, hotline",
Teen Link,"<a href=""https://www.crisisconnections.org/teen-link/"" target=""_blank"">Teen Link</a>","<a href=""tel:+1866-833-6546"">1.866.833.6546</a>","A confidential and anonymous help line for teens. They offer text and call support through the same number, and their website has a chat feature. Hours: M-F evenings 5pm ET-1am ET, Sa/Su 9pm ET-1am ET.","under 18, hotline",
TGNC Medical Relief Fund,"<a href=""https://www.tgncmedfund.org/"" target=""_blank"">TGNC Medical Relief Fund</a>",,A crowdfunded organization providing cash relief to trans and gender nonconforming individuals for help with medical costs.,"LGBTQ, gender identity",
The Body Is Not an Apology,"<a href=""https://thebodyisnotanapology.com/"" target=""_blank"">The Body Is Not An Apology</a>",,"Digital media and education organization run by queer Black women, promotes radical self love, articles about mental illness and disability and sexuality and everything else.",mental health,
The Gender Unicorn,"<a href=""https://www.transstudent.org/gender"" target=""_blank"">The Gender Unicorn</a>",,"The gender unicorn is a graphic that visually distinguishes the following terms: gender identity, gender expression, sex assigned at birth, physical attraction, and emotional attraction.","LGBTQ, gender identity, education",
The Indigenous World,"<a href=""https://www.iwgia.org/en/resources/indigenous-world.html"" target=""_blank"">The Indigenous World</a>",,An annual review about the rights and advancement of Indigenous peoples throughout the world.,"Indigenous, legal",
The LGBT National Help Center,"<a href=""http://glbtnationalhelpcenter.org"" target=""_blank"">The LGBT National Help Center</a>","<a href=""tel:+1888-843-4564"">1.888.843.4564</a>","The LGBT National Help Center provides telephone, online chat, and email peer-support. They speak with callers of all ages about bullying, workplace issues, HIV/AIDS anxiety, coming out, relationships, safer sex, and more.","LGBTQ, hotline",
The Okra Project,"<a href=""https://www.theokraproject.com/"" target=""_blank"">The Okra Project</a>",,"A program that seeks to address the global crisis faced by Black Trans people by bringing home cooked, healthy, and culturally specific meals and resources to Black Trans People.",LGBTQ,
The Nina Pop and Tony McDade Free Therapy Fund: CARE LANES,"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSfbl70ubMkv36-2bRYoX5FGp6oJjYzdyOkRFXg7KQukX8ipAQ/viewform"" target=""_blank"">The Nina Pop and Tony McDade Free Therapy Fund: CARE LANES</a>",,An emergency mutal aid program by The Okra Project that gives Black Trans Community Members free access to appointments with qualified Black therapists.,"LGBTQ, gender identity",
The PhD Forum,"<a href=""https://www.thephdforum.com/"" target=""_blank"">The PhD Forum</a>",,"A doctoral support group that has an online study room, similar to working virtually in a library.","STEMM, education",
The U.S. Department of State travel advisory for LGBTI travelers,"<a href=""https://travel.state.gov/content/travel/en/international-travel/before-you-go/travelers-with-special-considerations/lgbti.html"" target=""_blank"">The U.S. Department of State travel advisory for LGBTI travelers</a>",,General information and tips for LGBT people who are travelling outside of the United States.,general,
Therapist Aid Worksheets,"<a href=""https://www.therapistaid.com/therapy-worksheets"" target=""_blank"">Therapist Aid Worksheets</a>",,"Free therapy worksheets related to habit forming, CBT, self-esteem, anger, managing emotions, and more.",mental health,
Therapy 4 the People Resource List,"<a href=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRrI2ARTU3_DRpkf21ibRERHUvqO8R-bg8eKwypbg4DKdzwI6G_j63kFk9CSdSzyEz-6V9THDWzWqRl/pubhtml"" target=""_blank"">Therapy 4 the People</a>",,Resource list for finding free and low-cost mental health support created by 3 PhD students in mental health fields.,mental health,
Therapy for Black Girls,"<a href=""https://therapyforblackgirls.com/"" target=""_blank"">Therapy for Black Girls</a>",,Directory of therapists and a podcast supporting the mental wellness of Black women and girls. Also offers a subscription-based online community.,mental health,
THRIVE Lifeline Reading List,"<a href=""https://thrivelifeline.org/reading-list.html"" target=""_blank"">THRIVE Lifeline Reading List</a>",,Books about a range of topics. Includes children's titles.,"general, education",
THRIVE Lifeline List of STEMM Organizations,"<a href=""https://thrivelifeline.org/STEMM-orgs.html"" target=""_blank"">THRIVE Lifeline List of STEMM Organizations</a>",,A collection of STEMM organizations and societies.,"STEMM, education, career",
Thriving Campus,"<a href=""https://www.thrivingcampus.com/"" target=""_blank"">Thriving Campus</a>",,A directory where students can looks for mental health services in their area.,mental health,
Tips for the Undiagnosed,"<a href=""https://rarediseases.info.nih.gov/guides/pages/24/tips-for-the-undiagnosed"" target=""_blank"">Tips for the Undiagnosed</a>",,Information from the NIH about navigating an undiganosed medical condition. Provides connections to advocacy groups and funding.,"general, health",
Top Surgery Guide,"<a href=""https://www.topsurgery.net/"" target=""_blank"">Top Surgery Guide</a>",,Directory of surgeons and describes differences between surgical procedures for trans masculine folks.,"LGBTQ, gender identity, health",
Trans Equality - Know Your Rights,"<a href=""https://transequality.org/know-your-rights"" target=""_blank"">Trans Equality - Know Your Rights</a>",,"The NTEC's topic-based legal information, including for employment, health care, housing, and immigration.","LGBTQ, legal",
Trans Folx Fighting Eating Disorders,"<a href=""https://www.transfolxfightingeds.com/resources"" target=""_blank"">Trans Folx Fighting Eating Disorders</a>",,List of trans-competent providers and support groups for transgender and gender-diverse people fighting eating disorders. Also offers training resources for healthcare providers.,"LGBTQ, mental health",
Trans Language Primer,"<a href=""https://https://www.translanguageprimer.org/"">Trans Language Primer</a>",,"A guide to the language of gender, sexuality, accessibility, and acceptance.","LGBTQ, gender identity",
Trans Lifeline,"<a href=""https://www.translifeline.org/"" target=""_blank"">Trans Lifeline</a>","<a href=""tel:+1877-565-8860"">1.877.565.8860</a>","A 24/7 hotline available in the U.S. and Canada staffed by transgender people for transgender people. Trans Lifeline is primarily for transgender people in a crisis, from struggling with gender identity to thoughts of self-harm. Also offers support in Spanish.","LGBTQ, hotline, gender identity",Español
Trans Lifeline Microgrants,"<a href=""https://www.translifeline.org/microgrants"" target=""_blank"">Trans Lifeline Microgrants</a>",,Microgrants intended to help fund legal name and gender marker changes.,"LGBTQ, gender identity",
Trans Torah,"<a href=""http://www.transtorah.org/index.html"" target=""_blank"">Trans Torah</a>",,Liturgy and educational resources for supporting Jewish people of all genders.,"LGBTQ, religion",
